Using device: cuda
Training epoch 1
Training loss: 1.2949
Valid acc: 0.4721
Training epoch 2
Training loss: 1.2303
Valid acc: 0.4723
Training epoch 3
Training loss: 1.2079
Valid acc: 0.4721
Training epoch 4
Training loss: 1.1962
Valid acc: 0.4721
Training epoch 5
Training loss: 1.1883
Valid acc: 0.4806
Training epoch 6
Training loss: 1.1821
Valid acc: 0.4890
Training epoch 7
Training loss: 1.1761
Valid acc: 0.5174
Training epoch 8
Training loss: 1.1685
Valid acc: 0.5589
Training epoch 9
Training loss: 1.1568
Valid acc: 0.6038
Training epoch 10
Training loss: 1.1431
Valid acc: 0.6382
Training epoch 11
Training loss: 1.1292
Valid acc: 0.6455
Training epoch 12
Training loss: 1.1159
Valid acc: 0.6455
Training epoch 13
Training loss: 1.1033
Valid acc: 0.6637
Training epoch 14
Training loss: 1.0916
Valid acc: 0.6717
Training epoch 15
Training loss: 1.0808
Valid acc: 0.6700
Final Test acc: 0.6994
Number of trainable parameters:  0
